,_id,_is_deleted,_vehicle._congestion_level,_vehicle._current_status,_vehicle._current_stop_sequence,_vehicle._occupancy_status,_vehicle._position._bearing,_vehicle._position._latitude,_vehicle._position._longitude,_vehicle._position._odometer,_vehicle._position._speed,_vehicle._stop_id,_vehicle._timestamp,_vehicle._trip._direction_id,_vehicle._trip._route_id,_vehicle._trip._schedule_relationship,_vehicle._trip._start_date,_vehicle._trip._start_time,_vehicle._trip._trip_id,_vehicle._vehicle._id,_vehicle._vehicle._label,timestamp,start_datetime,timedelta,distancia_al_final
0,3,False,0,2,63,0,0,-3451104,-585125542,52108,0.0,6861103985,1674566110,0.0,99,0.0,20230124,08:15:00,9911-1,2272,109-70,2023-01-24 10:15:54.090717,2023-01-24 08:15:00.000000,0 days 02:00:54.090717,0.0041373916154978
1,12,False,0,2,63,0,0,-3451117,-5851269,52723,0.0,6861103985,1674566108,0.0,99,0.0,20230124,08:33:00,9917-1,8478,111-70,2023-01-24 10:15:54.090717,2023-01-24 08:33:00.000000,0 days 01:42:54.090717,0.0040137512753038
2,62,False,0,2,65,0,0,-3463454,-5835944,52379,5.0,20853,1674566110,1.0,100,0.0,20230124,08:36:00,10251-1,8970,70-70,2023-01-24 10:15:54.090717,2023-01-24 08:36:00.000000,0 days 01:39:54.090717,0.0045487347867293
3,3,False,0,2,63,0,0,-3451104,-585125542,52108,0.0,6861103985,1674566110,0.0,99,0.0,20230124,08:15:00,9911-1,2272,109-70,2023-01-24 10:16:25.726502,2023-01-24 08:15:00.000000,0 days 02:01:25.726502,0.0041373916154978
4,12,False,0,2,63,0,0,-3451117,-5851269,52723,0.0,6861103985,1674566108,0.0,99,0.0,20230124,08:33:00,9917-1,8478,111-70,2023-01-24 10:16:25.726502,2023-01-24 08:33:00.000000,0 days 01:43:25.726502,0.0040137512753038
5,62,False,0,2,65,0,0,-3463454,-5835944,52379,5.0,20853,1674566110,1.0,100,0.0,20230124,08:36:00,10251-1,8970,70-70,2023-01-24 10:16:25.726502,2023-01-24 08:36:00.000000,0 days 01:40:25.726502,0.0045487347867293
6,3,False,0,2,63,0,0,-3451104,-585125542,52108,0.0,6861103985,1674566110,0.0,99,0.0,20230124,08:15:00,9911-1,2272,109-70,2023-01-24 10:16:42.833466,2023-01-24 08:15:00.000000,0 days 02:01:42.833466,0.0041373916154978
7,12,False,0,2,63,0,0,-3451117,-5851269,52723,0.0,6861103985,1674566108,0.0,99,0.0,20230124,08:33:00,9917-1,8478,111-70,2023-01-24 10:16:42.833466,2023-01-24 08:33:00.000000,0 days 01:43:42.833466,0.0040137512753038
8,62,False,0,2,65,0,0,-3463454,-5835944,52379,5.0,20853,1674566110,1.0,100,0.0,20230124,08:36:00,10251-1,8970,70-70,2023-01-24 10:16:42.833466,2023-01-24 08:36:00.000000,0 days 01:40:42.833466,0.0045487347867293
9,3,False,0,2,63,0,0,-3451061,-5851285,52108,1111111.0,6861103985,1674566228,0.0,99,0.0,20230124,08:15:00,9911-1,2272,109-70,2023-01-24 10:17:43.345997,2023-01-24 08:15:00.000000,0 days 02:02:43.345997,0.004584440565653
10,12,False,0,2,63,0,0,-3451112,-585127258,52723,0.0,6861103985,1674566228,0.0,99,0.0,20230124,08:33:00,9917-1,8478,111-70,2023-01-24 10:17:43.345997,2023-01-24 08:33:00.000000,0 days 01:44:43.345997,0.0040660477739466
11,51,False,0,1,66,0,0,-3463857,-5835795,75264,0.555555,207307,1674566232,1.0,100,0.0,20230124,08:39:00,10252-1,8595,56-70,2023-01-24 10:17:43.345997,2023-01-24 08:39:00.000000,0 days 01:38:43.345997,0.0011921091225189
12,66,False,0,2,66,0,0,-3463657,-583582,50025,3611111.0,207307,1674566232,1.0,100,0.0,20230124,08:45:00,10254-1,8977,106-70,2023-01-24 10:17:43.345997,2023-01-24 08:45:00.000000,0 days 01:32:43.345997,0.0026351895871106
13,89,False,0,2,65,0,0,-3463579,-5835866,75250,127777767.0,20853,1674566232,1.0,100,0.0,20230124,08:57:00,10258-1,20015,64-70,2023-01-24 10:17:43.345997,2023-01-24 08:57:00.000000,0 days 01:20:43.345997,0.0033014251710446
14,12,False,0,2,63,0,0,-3451105,-5851278,52723,2.5,6861103985,1674566288,0.0,99,0.0,20230124,08:33:00,9917-1,8478,111-70,2023-01-24 10:18:43.866213,2023-01-24 08:33:00.000000,0 days 01:45:43.866213,0.0041400247946146
15,71,False,0,1,66,0,0,-3463863,-583575249,50902,6944444.0,207307,1674566438,1.0,100,0.0,20230124,08:48:00,10255-1,8989,37-70,2023-01-24 10:20:45.185280,2023-01-24 08:48:00.000000,0 days 01:32:45.185280,0.0015701282017705
16,29,False,0,2,66,0,0,-3463814,-5835718,77116,10833333.0,207307,1674566558,1.0,100,0.0,20230124,08:54:00,10257-1,8509,62-70,2023-01-24 10:22:46.251931,2023-01-24 08:54:00.000000,0 days 01:28:46.251931,0.0020725704234116
17,49,False,0,1,63,0,0,-3451154,-5851228,52634,3055555.0,6861103985,1674566556,0.0,99,0.0,20230124,08:39:00,9919-1,8577,115-70,2023-01-24 10:22:46.251931,2023-01-24 08:39:00.000000,0 days 01:43:46.251931,0.0036390409863078
18,76,False,0,1,63,0,0,-3451149,-5851219,76125,0.0,6861103985,1674566558,0.0,99,0.0,20230124,08:39:00,9919-1,9921,113-70,2023-01-24 10:22:46.251931,2023-01-24 08:39:00.000000,0 days 01:43:46.251931,0.003693893785694
19,82,False,0,2,66,0,0,-3463795,-583573151,75301,10.0,207307,1674566560,1.0,100,0.0,20230124,08:51:00,10256-1,15072,58-70,2023-01-24 10:22:46.251931,2023-01-24 08:51:00.000000,0 days 01:31:46.251931,0.002050132134767
